institution_en,institution_cn,admin_level,url,page_found_on,notes,live_status,live_tested,live_notes
Turpan,吐鲁番市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Lüliang,吕梁市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Wuzhong,吴忠市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Zhoukou,周口市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Hotan Prefecture,和田地区,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Xianning,咸宁市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Xianyang,咸阳市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Hami,哈密市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Harbin,哈尔滨市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Tangshan,唐山市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Shangqiu,商丘市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Shangluo,商洛市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Kashgar Prefecture,喀什地区,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Jiaxing,嘉兴市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Jiayuguan,嘉峪关市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Siping,四平市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Guyuan,固原市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Tacheng Prefecture,塔城地区,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Daxing'anling Prefecture,大兴安岭地区,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Datong,大同市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Daqing,大庆市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Dali Bai Autonomous Prefecture,大理白族自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Dalian,大连市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Tianshui,天水市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Taiyuan,太原市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Weihai,威海市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Loudi,娄底市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Xiaogan,孝感市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Ningde,宁德市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Ningbo,宁波市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Anqing,安庆市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Ankang,安康市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Anyang,安阳市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Anshun,安顺市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Dingxi,定西市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Yibin,宜宾市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Yichang,宜昌市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Yichun,宜春市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Baoji,宝鸡市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Xuancheng,宣城市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Suzhou,宿州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Suqian,宿迁市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Shannan,山南市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Yueyang,岳阳市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Chongzuo,崇左市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Bazhong,巴中市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Bayingolin Mongol Autonomous Prefecture,巴音郭楞蒙古自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Changzhou,常州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Changde,常德市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Pingliang,平凉市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Pingdingshan,平顶山市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Guangyuan,广元市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Guang'an,广安市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Guangzhou,广州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Qingyang,庆阳市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Langfang,廊坊市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Yan'an,延安市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Yanbian Korean Autonomous Prefecture,延边朝鲜族自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Kaifeng,开封市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Zhangjiakou,张家口市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Zhangjiajie,张家界市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Zhangye,张掖市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Xuzhou,徐州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Dehong Dai and Jingpo Autonomous Prefecture,德宏傣族景颇族自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Dezhou,德州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Deyang,德阳市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Xinzhou,忻州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Huaihua,怀化市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Nujiang Lisu Autonomous Prefecture,怒江傈僳族自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Enshi Tujia and Miao Autonomous Prefecture,恩施土家族苗族自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Huizhou,惠州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Chengdu,成都市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Yangzhou,扬州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Chengde,承德市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Fuzhou,抚州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Fushun,抚顺市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Lhasa,拉萨市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Jieyang,揭阳市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Panzhihua,攀枝花市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Wenshan Zhuang and Miao Autonomous Prefecture,文山壮族苗族自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Xinxiang,新乡市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Xinyu,新余市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Wuxi,无锡市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Shigatse,日喀则市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Rizhao,日照市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Kunming,昆明市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Changji Hui Autonomous Prefecture,昌吉回族自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Qamdo,昌都市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Zhaotong,昭通市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Jinzhong,晋中市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Jincheng,晋城市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Pu'er,普洱市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Jingdezhen,景德镇市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Qujing,曲靖市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Shuozhou,朔州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Chaoyang,朝阳市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Benxi,本溪市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Laibin,来宾市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Hangzhou,杭州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Songyuan,松原市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Nyingchi,林芝市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Golog Tibetan Autonomous Prefecture,果洛藏族自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Zaozhuang,枣庄市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Liuzhou,柳州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Zhuzhou,株洲市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Guilin,桂林市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Meizhou,梅州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Wuzhou,梧州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Chuxiong Yi Autonomous Prefecture,楚雄彝族自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Yulin,榆林市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Wuwei,武威市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Wuhan,武汉市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Bijie,毕节市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Yongzhou,永州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Hanzhong,汉中市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Shantou,汕头市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Shanwei,汕尾市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Jiangmen,江门市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Chizhou,池州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
